"id","priority","master_attribute_id","plan_attribute_id"
"292",200,"319","435"
"293",200,"323","423"
"294",200,"324","407"
"295",200,"346","454"
"296",200,"380","456"
"297",200,"381","448"
"298",300,"42","22"
"299",200,"42","559"
"300",200,"45","541"
"301",300,"51","75"
"302",300,"74","16"
"303",200,"74","595"
"304",200,"75","605"
"305",200,"76","599"
"306",200,"92","555"
"307",200,"122","552"
"308",200,"124","560"
"309",300,"127","18"
"310",200,"127","551"
"311",200,"134","553"
"312",200,"213","543"
"313",200,"228","556"
"314",200,"229","519"
"315",300,"235","69"
"316",300,"236","70"
"317",300,"237","67"
"318",300,"238","66"
"319",300,"239","68"
"320",200,"243","562"
"321",300,"262","20"
"322",200,"262","557"
"323",200,"264","561"
"324",200,"267","542"
"325",300,"271","52"
"326",300,"272","53"
"327",200,"296","540"
"328",200,"301","539"
"329",300,"304","21"
"330",200,"304","558"
"331",300,"308","17"
"332",200,"308","550"
"333",200,"312","545"
"334",300,"334","19"
"335",200,"334","554"
"336",200,"350","549"
"337",300,"3","49"
"338",200,"3","466"
"339",200,"100","476"
"340",200,"298","581"
"341",200,"52","376"
"342",200,"93","412"
"343",200,"95","411"
"344",300,"130","59"
"345",300,"259","60"
"346",200,"320","377"
"347",300,"387","61"
"352",500,"2","11312"
"354",500,"245","14010"
"356",500,"374","14008"
"358",400,"379","11206"
"359",500,"379","11142"
"360",600,"379","14006"
"361",700,"379","11313"
"362",800,"379","12066"
"363",900,"379","13146"
"373",100,"400","10842"
"364",600,"2","13210"
"365",300,"25","13240"
"366",300,"30","13220"
"367",900,"379","13230"
"368",400,"30","11141"
"369",100,"25","10992"
"370",100,"37","10987"
"402",100,"395","10976"
"350",100,"36","10984"
"348",100,"32","10885"
"372",300,"36","11008"
"2",200,"1","564"
"374",100,"401","10843"
"375",100,"402","10801"
"376",100,"403","10802"
"377",100,"404","10803"
"378",100,"405","10804"
"379",100,"406","10805"
"380",100,"407","10806"
"381",100,"408","10807"
"382",100,"409","10808"
"383",100,"410","10809"
"384",100,"411","10810"
"385",100,"412","10811"
"386",100,"413","10812"
"387",100,"414","10813"
"388",100,"415","10814"
"389",100,"416","10815"
"390",100,"417","10816"
"391",100,"418","10817"
"392",100,"419","10818"
"393",100,"420","10819"
"394",100,"421","10820"
"395",100,"422","10821"
"396",100,"423","10822"
"397",100,"424","10823"
"398",100,"425","10824"
"399",100,"426","10825"
"400",100,"427","10826"
"401",100,"428","10827"
"351",100,"2","10990"
"403",100,"430","10977"
"404",100,"399","10978"
"371",100,"431","10985"
"353",100,"245","10877"
"355",100,"374","10875"
"357",100,"379","10991"
"405",100,"432","10701"
"406",100,"433","10702"
"407",100,"434","10703"
"408",100,"435","10704"
"409",100,"137","10705"
"410",100,"436","10706"
"411",100,"437","10798"
"412",100,"438","10799"
"413",100,"439","10800"
"416",100,"441","11004"
"417",100,"442","11005"
"414",100,"4","10981"
"415",100,"440","10980"
"418",500,"1","84"
"419",300,"32","85"
"420",400,"223","96"
"421",300,"231","92"
"422",600,"245","91"
"423",300,"263","95"
"424",600,"374","90"
"425",200,"395","87"
"426",400,"25","11314"
"427",500,"30","11317"
"428",400,"36","11221"
"429",100,"443","10904"
"430",200,"443","88"
"431",100,"444","10906"
"432",200,"444","89"
"433",100,"445","10862"
"434",100,"446","10863"
"435",100,"447","10864"
"436",100,"448","10865"
"437",100,"449","10867"
"438",100,"450","10868"
"439",100,"451","10829"
"440",100,"452","10828"
"441",100,"453","10845"
"442",200,"453","678"
"443",300,"453","11139"
"444",200,"454","895"
"445",200,"455","894"
"446",200,"456","893"
"447",200,"457","850"
"448",200,"458","849"
"449",200,"459","848"
"450",200,"460","847"
"451",200,"461","846"
"452",200,"462","845"
"453",200,"463","841"
"454",200,"464","840"
"455",200,"465","839"
"456",200,"466","832"
"457",200,"467","831"
"458",200,"468","830"
"459",200,"469","709"
"460",200,"470","708"
"461",200,"471","707"
"462",200,"472","703"
"463",200,"473","702"
"464",200,"474","701"
"465",200,"475","745"
"466",200,"476","744"
"467",200,"477","743"
"468",200,"478","751"
"469",200,"479","750"
"470",200,"480","749"
"471",200,"481","799"
"472",200,"482","798"
"473",200,"483","797"
"474",200,"484","838"
"475",200,"485","837"
"476",200,"486","833"
"477",200,"487","844"
"478",200,"488","843"
"479",200,"489","842"
"480",200,"490","904"
"481",200,"491","903"
"482",200,"492","902"
"483",200,"493","704"
"484",200,"494","705"
"485",200,"495","706"
"486",200,"496","710"
"487",200,"497","711"
"488",200,"498","712"
"489",200,"499","713"
"490",200,"500","714"
"491",200,"501","715"
"492",200,"502","716"
"493",200,"503","717"
"494",200,"504","718"
"495",200,"505","719"
"496",200,"506","720"
"497",200,"507","721"
"498",200,"508","722"
